"Branch Name","Address","City","State","Zip Code","County","Application Number","Application Type","Action","Action Date","Comment Period End Date","URL"
"CROOKS & MAPLE BRANCH","1495 CROOKS ROAD","TROY","MI","48084","Oakland","2026-BranchClosing-346085","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346085&FilingSubtypeID=1007"
"EASTSIDE BRANCH","2133 EAST APPLE AVENUE","MUSKEGON","MI","49442","Muskegon","2026-BranchClosing-346086","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346086&FilingSubtypeID=1007"
"EAST GRAND RIVER-WHITEMORE LAKE BRANCH","5671 WHITMORE LAKE ROAD","BRIGHTON","MI","48116","Livingston","2026-BranchClosing-346087","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346087&FilingSubtypeID=1007"
"CASCADE BRANCH","6511 28TH STREET SOUTHEAST","GRAND RAPIDS","MI","49546","Kent","2026-BranchClosing-346088","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346088&FilingSubtypeID=1007"
"07356 Dearborn BC","1620 North Telegraph","Dearborn","MI","48128","Wayne","2026-BranchClosing-346089","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346089&FilingSubtypeID=1007"
"02884 Fort Lauderdale BC","200 East Las Olas Boulevard","Ft. Lauderdale","FL","33301","Broward","2026-BranchClosing-346090","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346090&FilingSubtypeID=1007"
"FIVE MILE-MERRIMAN BRANCH","31425 FIVE MILE ROAD","LIVONIA","MI","48154","Wayne","2026-BranchClosing-346091","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346091&FilingSubtypeID=1007"
"FISHER-ST PAUL BRANCH","415 FISHER ROAD","GROSSE POINTE","MI","48230","Wayne","2026-BranchClosing-346092","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346092&FilingSubtypeID=1007"
"FOURTEEN MILE-FARMINGTON BRANCH","33140 WEST FOURTEEN MILE ROAD","WEST BLOOMFIELD","MI","48322","Oakland","2026-BranchClosing-346093","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346093&FilingSubtypeID=1007"
"01163 Ann Arbor West BC","2090 West Stadium Boulevard","Ann Arbor","MI","48103","Washtenaw","2026-BranchClosing-346094","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346094&FilingSubtypeID=1007"
"05061 18 and Ryan BC","41122 Ryan Road","Sterling Heights","MI","48314","Macomb","2026-BranchClosing-346095","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346095&FilingSubtypeID=1007"
"52ND-KALAMAZOO BRANCH","5135 KALAMAZOO AVENUE SE","GRAND RAPIDS","MI","49508","Kent","2026-BranchClosing-346096","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346096&FilingSubtypeID=1007"
"ANN ARBOR-MERRIMAN BRANCH","31200 ANN ARBOR TRAIL","WESTLAND","MI","48185","Wayne","2026-BranchClosing-346097","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346097&FilingSubtypeID=1007"
"W. GRAND BLVD. AND 3RD BANKING CENTER","2911 WEST GRAND BOULEVARD","DETROIT","MI","48202","Wayne","2026-BranchClosing-346098","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346098&FilingSubtypeID=1007"
"TWELVE MILE-DEQUINDRE BRANCH","28230 DEQUINDRE ROAD","WARREN","MI","48092","Macomb","2026-BranchClosing-346099","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346099&FilingSubtypeID=1007"
"TWELVE MILE-HALSTEAD BRANCH","37550 TWELVE MILE ROAD","FARMINGTON","MI","48331","Oakland","2026-BranchClosing-346100","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346100&FilingSubtypeID=1007"
"WARREN-CALHOUN BRANCH","13335 WEST WARREN AVENUE","DEARBORN","MI","48126","Wayne","2026-BranchClosing-346101","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346101&FilingSubtypeID=1007"
"02927 Grosse Pointe Woods BC","20065 Mack Avenue","Grosse Pointe","MI","48236","Wayne","2026-BranchClosing-346102","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346102&FilingSubtypeID=1007"
"GRATIOT-HILLSIDE BRANCH","35795 GRATIOT AVENUE","CLINTON TOWNSHIP","MI","48035","Macomb","2026-BranchClosing-346103","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346103&FilingSubtypeID=1007"
"GARFIELD-CANAL BRANCH","41941 GARFIELD ROAD","CLINTON TOWNSHIP","MI","48038","Macomb","2026-BranchClosing-346104","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346104&FilingSubtypeID=1007"
"FRANDOR BRANCH","223 NORTH CLIPPERT STREET","LANSING","MI","48912","Ingham","2026-BranchClosing-346105","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346105&FilingSubtypeID=1007"
"FOUR MILE-ALPINE BRANCH","857 FOUR MILE ROAD","GRAND RAPIDS","MI","49544","Kent","2026-BranchClosing-346106","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346106&FilingSubtypeID=1007"
"GRATIOT-EIGHT MILE BRANCH","15261 GRATIOT AVENUE","DETROIT","MI","48205","Wayne","2026-BranchClosing-346107","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346107&FilingSubtypeID=1007"
"GRANDVILLE-44TH WILSON BRANCH","4480 WILSON AVENUE","GRANDVILLE","MI","49418","Kent","2026-BranchClosing-346108","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346108&FilingSubtypeID=1007"
"GRAND RIVER-HILTON BRANCH","8250 HILTON ROAD","BRIGHTON","MI","48114","Livingston","2026-BranchClosing-346109","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346109&FilingSubtypeID=1007"
